base,target,top0,top1,top2,k_order,k_score
pleasure,hedonist,aesthete,pleasure,pleasurable,,
stare,glance,stare,nudge,blankly,,
estimable,praise,estimable,condemn,criticize,,
housemates,residence,age,housemates,aged,,
surreptitious,stealth,craftiness,surreptitious,cunning,,
clamp,grip,clamp,clamping,clamps,,
sweater,wool,sweater,cardigan,sweaters,,
rings,jeweler,rings,ring,jeweler,2,0.489998668
hypnotist,subject,hypnotist,marionette,hypnotists,,
goad,urge,goad,criticize,oppose,,
abridge,book,abridge,word,make,,
dinosaur,reptile,bird,dinosaur,birds,,
imitation,forgery,imitation,imitations,knockoff,,
degree,temperature,degree,sound,well,,
heroism,praise,punishment,heroism,sacrifice,,
corridor,building,mine,corridor,hers,,
antidote,poisoning,antidote,infection,virus,,
quibble,objection,quibble,guarantee,quibbles,,
range,mountains,range,stars,5,,
indelible,erased,reformed,indelible,presbyterian,,
corn,husk,peel,corn,potatoes,,
apathetic,caring,apathetic,depth,breadth,,
revere,admire,save,revere,compare,,
idol,adulation,idol,ostracism,contestant,,
anthology,poem,anthology,article,written,,
professor,knowledge,professor,faculty,university,,
frugal,wastefulness,indiscretion,frugal,indiscretions,,
emotional,feelings,emotional,emotions,feelings,2,0.600890577
radiant,happiness,radiant,anger,emotions,,
novel,book,novel,poem,tale,,
spider,legs,spider,wings,scorpion,,
intrepid,fear,intrepid,shape,fit,,
mimic,gesture,person,persons,someone,,
modify,invariable,modify,untenable,unworkable,,
coronation,reign,coronation,marriage,marriages,,
freighter,cargo,freighter,passengers,freighters,,
retreat,position,retreat,country,resort,,
cloudburst,rain,wind,solar,cloudburst,,
code,principles,code,values,codes,,
unready,prepare,unready,develop,establish,,
limerick,poem,limerick,dublin,galway,,
aquatic,water,land,lands,acres,,
garish,brightness,garish,sweetness,bright,,
corrupted,morality,alloy,corrupted,wheel,,
jurisprudence,law,argumentation,jurisprudence,discourse,,
hoarse,speech,mobility,hoarse,slurred,,
ingenuous,innocence,curiosity,curiousity,imagination,,
abhor,dislike,abhor,detest,consume,,
forum,discussion,forum,conflict,discussion,2,0.604391
hire,employee,hire,property,hired,,
snack,meal,snack,sleep,eat,,
stubborn,obdurate,stubborn,bellicose,hard-headed,,
tooth,comb,tooth,teeth,dental,,
covetous,rapacious,covetous,avaricious,envious,,
luxurious,spare,luxurious,elegant,stylish,,
tendril,vine,tendril,octopus,tendrils,,
reciprocate,favor,wrong,reciprocate,think,,
pencil,draw,pencil,pencils,pen,,
browse,read,converse,browse,footwear,,
revive,exhausted,worn,wearing,wear,,
famine,nourishment,rain,famine,darkness,,
rule,game,society,rule,societies,,
congratulation,victor,mourner,congratz,congrads,,
enlighten,ignorant,enlighten,pinioned,illuminate,,
gaunt,rotund,gaunt,haggard,sallow,,
manual,instructions,manual,maps,manuals,,
drill,dentist,drill,photographer,drilling,,
passengers,bus,passengers,truck,suv,,
annoying,obnoxious,annoying,blaring,obnoxious,2,0.559551477
rough,texture,sound,rough,sounds,,
annoy,irritation,embarrassment,annoy,insult,,
diamond,hard,diamond,diamonds,platinum,,
enigma,puzzle,obesity,enigma,diabetes,,
lobbyist,persuade,lobbyist,disconcert,lobbyists,,
naive,sophistication,compassion,naive,empathy,,
musician,orchestra,cast,band,musicians,,
botanist,capsicum,tyrannosaurus,botanist,linnaeus,,
school,fish,school,teacher,schools,,
gift,recipient,gift,heir,gifts,,
weak,strong,weak,strong,weaker,1,0.55274564
expertise,authority,expertise,knowledge,experience,,
document,assertion,document,claim,documents,,
proselytize,religion,principles,principle,tenets,,
influenza,feverish,influenza,flu,h1n1,,
motorist,drives,walks,motorist,walked,,
detergent,clean,detergent,detergents,dishwashing,,
administrator,hospital,store,stores,shop,,
egg,bird,egg,eggs,plant,,
extricate,difficulty,blame,trying,situation,,
telescope,eye,telescope,ear,eye,2,0.516236305
hide,discovery,work,hide,all,,
aluminum,metal,aluminum,steel,gas,,
stiff,bend,stiff,flow,down,,
ice,cake,ice,pottery,hockey,,
pretender,monarch,pretender,doctor,patient,,
desultory,direction,energy,renewable,electricity,,
steal,confiscate,execute,steal,executing,,
amplify,volume,appearance,tone,impression,,
wave,hand,wave,wing,waves,,
pine,tree,pine,oak,cedar,,
coalition,factions,coalition,alliance,metals,,
frown,anger,happiness,unhappiness,frown,,
melt,liquid,solid,melt,metal,,
lion,cat,lion,reptile,animal,,
rate,prevalent,rate,novel,rates,,
afterword,book,play,playing,plays,,
tenant,dwelling,tenant,office,apartment,,
prophet,revelation,prophet,message,jesus,,
prophet,predict,prophet,guide,guides,,
libertarian,tyranny,libertarian,orthodoxy,conservatism,,
braggart,boast,beg,braggart,implore,,
shore,ocean,shore,country,shores,,
watch,timepiece,watch,watches,watching,,
ephemeral,eternal,epic,cinematic,awesome,,
partner,business,crime,partner,partners,,
navigable,sailing,navigable,cultivation,vessel,,
unfrock,minister,navigable,cultivation,vessel,,
coach,athlete,coach,coaches,pupil,,
sand,wood,metal,sand,rock,,
placid,calmness,placid,inconsistency,inconsistencies,,
visage,countenance,charm,visage,elegance,,
stagnate,flow,stagnate,depart,stagnates,,
adversary,opposition,proximity,adversary,adversaries,,
menu,diner,menu,shopper,menus,,
chair,furniture,chair,domicile,vice-chair,,
reservoir,lake,reservoir,waterway,reservoirs,,
nip,maturation,understanding,knowledge,nip,,
guard,protect,guard,represent,guards,,
scale,weight,scale,distance,within,,
beagle,dog,beagle,puppy,bird,,
helmet,protection,helmet,warmth,comfort,,
limousine,automobile,limousine,limo,limousines,,
fertilizer,growth,fertilizer,activity,fertiliser,,
parched,moisture,color,colour,colors,,
effigy,hatred,effigy,blame,burning,,
enjoy,pleasure,enjoy,enjoying,pleasure,2,0.695923209
cheerful,hilarious,petrified,cheerful,colorful,,
minnow,fish,minnow,rock,rap,,
chair,furniture,chair,chairs,science,,
virtuoso,skill,power,virtuoso,electric,,
claws,crab,claws,octopus,claw,,
effusive,emotional,angry,effusive,enthusiastic,,
meritorious,esteem,meritorious,contempt,commendation,,
quarantine,patient,juror,quarantine,defendant,,
passion,enthusiast,passion,expert,passionate,,
corrosive,iron,skin,redness,epidermis,,
vindictive,revenge,money,cash,paying,,
finale,symphony,book,finale,season,,
prejudice,tolerance,prejudice,philanthropy,racism,,
cook,raw,plain,cook,rice,,
embezzlement,employer,country,rural,bank,,
indiscretion,convention,prescription,indiscretion,prescriptions,,
fluid,changed,fluid,fluids,flow,,
appraise,value,depth,appraise,evaluate,,
compassion,sympathy,compassion,joy,kindness,,
expensive,exorbitant,expensive,pricey,costly,,
window,glass,window,fabric,inside,,
drop,rain,snow,drop,rain,2,0.653677881
shout,speak,walk,shout,walked,,
injury,pain,injury,fatigue,pain,2,0.639094889
mollify,anger,wound,mollify,winding,,
dogged,surrender,compromise,dogged,integrity,,
talisman,object,words,word,meaning,,
ornament,adorn,ornament,embellish,ornaments,,
infantile,child,ape,infantile,childish,,
inherent,extrinsic,inherent,static,intrinsic,,
stable,horse,stable,very,book,,
draft,writer,draft,artist,drafted,,
helmet,head,eyes,face,head,2,0.591464341
deceitful,cheat,deceitful,complain,dishonest,,
disinfection,bacteria,impurities,contaminants,disinfection,,
anomalous,model,anomalous,stability,measurements,,
pretentious,modesty,refinement,sophistication,elegance,,
grove,trees,shrubs,grove,trees,2,0.609277904
blood,mammal,blood,tree,heart,,
daring,audacity,power,daring,up,,
swindle,gullible,swindle,skittish,ponzi,,
petrify,stone,vapor,petrify,vapour,,
soluble,dissolve,soluble,vaporize,water-soluble,,
revive,faint,surgery,surgical,cosmetic,,
sugar,sweet,sugar,toxic,sugars,,
boast,modest,boast,straightforward,boasting,,
ungainly,skill,thought,looked,think,,
deflate,flat,short,long,deflate,,
tractor,plow,tractor,train,truck,,
hit,song,seller,hit,buyer,,
spectators,arena,theater,theatre,spectators,,
gossip,reserve,gossip,finesse,celebrity,,
facade,appearance,behavior,behaviour,facade,,
assurance,uncertainty,assurance,boredom,loneliness,,
helmet,injury,helmet,helmets,motorcycle,,
breathe,pant,scurry,breathe,hyperventilate,,
poverty,wealth,poverty,abundance,prosperity,,
abbreviate,word,novel,novels,fiction,,
foreword,novel,statute,foreword,statutes,,
happiness,bliss,happiness,panic,joy,,
extol,praise,entertain,extol,inspire,,
layer,cake,layer,layers,insulating,,
aquarium,fish,aquarium,poultry,fish,2,0.586235166
advertiser,product,cause,advertiser,causes,,
immunization,disease,immunization,vaccination,vaccine,,
barren,fruit,experience,barren,experiences,,
glacial,cold,glacial,dry,drying,,
mile,distance,mile,volume,track,,
imperceptible,microscope,amplifier,amplifiers,preamplifier,,
ornament,decoration,ornament,support,christmas,,
merciless,compassion,respect,determination,merciless,,
whole,sample,delegate,whole,entire,,
value,treasure,value,celebrity,values,,
hatch,egg,hatch,seed,seeds,,
rash,prudent,rash,lucky,fever,,
visible,sight,visible,touch,even,,
oil,lubricate,oil,soften,cut,,
contamination,impure,contamination,contaminated,contaminants,,
collage,art,writing,collage,write,,
napkin,mouth,shoes,shoe,sneakers,,
crate,produce,crate,letter,dog,,
beam,light,beam,beams,electricity,,
hear,listener,observer,hear,heard,,
splinter,wood,splinter,bread,creed,,
architect,blueprints,maps,architect,architecture,,
haven,refuge,view,haven,see,,
postpone,event,action,actions,decision,,
note,music,language,note,languages,,
burnish,lustrous,burnish,insensible,burnishing,,
choleric,anger,greed,choleric,selfishness,,
coarse,rough,coarse,toothsome,texture,,
frivolous,giddiness,frivolous,prudence,frivilous,,
standard,selection,judgment,standard,judge,,
suggest,command,coerce,intimidate,coercing,,
police,precinct,police,forest,authorities,,
roster,names,roster,topics,offseason,,
invalid,healthy,invalid,result,valid,,
apathy,caring,apathy,money,cynicism,,
report,outline,report,blueprint,reports,,
gun,bullet,sheath,gun,handgun,,
cat,kitten,cat,child,dog,,
knife,utensil,knife,knives,blade,,
purify,contaminated,faulty,purify,defective,,
rescue,danger,rescue,charge,shelter,,
mural,wall,mural,cloth,murals,,
love,loneliness,love,hunger,longing,,
ewe,sheep,ewe,sheep,horse,1,0.591282248
insolence,pride,insolence,jollity,productiveness,,
carpenter,wood,stone,carpenter,stones,,
glue,paper,glue,brick,tape,,
bind,movement,access,bind,allow,,
belligerent,fight,belligerent,spend,spent,,
sanctimonious,hypocrisy,sanctimonious,boldness,self-righteous,,
glue,adhere,slide,glue,flip,,
enormous,large,enormous,huge,clean,,
africa,continent,africa,country,african,,
scoundrel,virtue,moderation,scoundrel,compromise,,
revision,story,suit,revision,suits,,
concur,sycophantic,concur,censorious,concurred,,
band,musician,dancer,band,bands,,
flee,elude,flee,deceive,fled,,
eulogy,praise,urge,eulogy,wanted,,
composer,score,blueprint,composer,instrumental,,
canvas,painting,canvas,prints,print,,
voracious,hungry,voracious,obvious,appetites,,
combustion,heat,energy,combustion,gas,,
vindictive,vengeance,pleasure,vindictive,fear,,
elevator,lift,elevator,elevators,escalators,,
patent,design,book,patent,novel,,
testify,perjure,testify,steal,testifies,,
hunch,intuitive,hunch,rational,irrational,,
adjournment,proceedings,adjournment,adjourned,adjourn,,
caution,reckless,predictable,caution,cautious,,
blueprint,build,blueprint,navigate,navigating,,
peanut,butter,peanut,sunflower,canvas,,
cajole,compliance,trust,cajole,trusts,,
compass,circle,line,lines,compass,,
satiated,hunger,energy,energies,renewable,,
composer,musician,actor,composer,musician,2,0.627009332
alien,foreign,alien,aliens,native,,
egotist,conceited,clumsy,egotist,uncoordinated,,
surprise,astonishment,frenzy,surprise,suprise,,
expert,skill,fervor,zeal,expert,,
precious,value,precious,importance,valuable,,
frugal,extravagance,frugal,companionship,frugality,,
pseudonym,name,statement,written,statements,,
key,chart,map,key,maps,,
perfidious,loyalty,moderation,perfidious,self-restraint,,
superficial,depth,superficial,reverence,profound,,
medley,songs,medley,images,songs,2,0.489505023
lament,woe,lament,indecision,sorrow,,
reap,wheat,wool,reap,cotton,,
line,stanza,act,line,lines,,
water,thirst,water,germs,sand,,
summit,mountain,hierarchy,summit,hierarchies,,
obliging,help,criticize,obliging,criticise,,
soporific,sleep,soporific,harm,worry,,
water,riverbed,water,street,st,,
suit,wardrobe,suit,repertoire,suits,,
pestle,mortar,pestle,anvil,pestles,,
dread,expectation,dread,dream,dreams,,
unethical,morality,logic,unethical,methods,,
servile,submissiveness,servile,treachery,deceit,,
parent,offspring,parent,descendant,parents,,
skeptical,doubt,skeptical,determination,concerned,,
corrupt,purity,corrupt,corrupted,recover,,
swarm,insects,people,n't,think,,
bard,poetry,music,bard,song,,
congregation,alone,congregation,congregations,parishioners,,
aquarium,marine,aquarium,botanical,aquariums,,
theme,essay,theme,discourse,themes,,
entertainment,divert,entertainment,perplex,recreation,,
comic,funny,comic,comics,book,,
stain,fabric,skin,stain,stains,,
dog,canine,canine,dog,dogs,0,0.71065706
design,building,newspaper,design,magazine,,
disputant,argument,merrymaking,disputant,joviality,,
splint,movement,bleeding,splint,bruising,,
opportunist,advantage,opportunist,lunatic,lunatics,,
examine,scrutinize,contemplate,examine,analyze,,
acrid,taste,sound,sounds,smell,,
mitigate,severe,mitigate,extreme,minimize,,
centennial,year,name,centennial,address,,
withdraw,offer,law,withdraw,legal,,
epilogue,play,letter,letters,epilogue,,
light,illumination,light,warning,clear,,
oblivious,awareness,shame,oblivious,sadly,,
pride,shame,infamy,pride,shame,2,0.503970563
furnace,heat,moisture,heat,furnace,1,0.585920215
subtitle,film,subtitle,cartoon,cartoons,,
jog,sprint,scurry,jog,scurried,,
shabby,clothes,building,design,construction,,
infirmity,strength,infirmity,opulence,grandeur,,
drawl,speak,walk,drawl,he,,
digress,subject,course,anyway,digress,,
abstract,report,abstract,word,words,,
emerald,gem,emerald,sapphire,diamond,,
spice,season,spice,cut,sweet,,
lucid,clarity,lucid,persuasiveness,hypnotic,,
fertile,fecundity,fertile,sloth,valleys,,
confidence,conceit,confidence,obsession,fears,,
